,fr_w,nmot_w,rl_w,nearest_rpm,nearest_load,weight
2214,1.0043,849.25,17.0625,1000.0,17.5,0.006570841889117043
2215,1.0022,839.25,17.1563,1000.0,17.5,0.006169271230158852
2216,1.00174,821.5,17.3438,1000.0,17.5,0.005566186972673361
2217,1.00076,817.25,17.4609,1000.0,17.5,0.005441019081109816
2218,0.99936,813.5,17.625,1000.0,17.5,0.005329780146568954
2219,1.0484,805.0,18.0938,1000.0,17.5,0.0050866304023829845
2220,1.04675,801.25,18.375,1000.0,17.5,0.004984423676012461
2221,1.04566,797.25,18.6797,1000.0,17.5,0.004879722168138635
2222,1.04538,795.25,19.1719,1000.0,17.5,0.004821091697646198
2223,1.04413,797.25,19.3359,1000.0,17.5,0.004864146811624727
2224,1.04215,796.25,19.5,1000.0,17.5,0.0048367593712212815
2225,0.98993,799.0,19.5938,1000.0,17.5,0.00489970787941623
2226,0.988679,802.5,19.5938,1000.0,17.5,0.004985198944334272
2227,0.987977,797.75,19.4297,1000.0,17.5,0.004873776499332049
2228,0.987763,801.5,19.3359,1000.0,17.5,0.004966824098434506
2229,0.986848,800.75,19.1719,1000.0,17.5,0.0049524098178553196
2230,0.987458,794.0,19.125,1000.0,17.5,0.004793289394847214
2231,1.03833,792.25,19.1016,1000.0,17.5,0.004753945299203809
2232,1.03836,786.25,19.0781,1000.0,17.5,0.004622607973721398
2233,1.0376,777.5,19.1016,1000.0,17.5,0.004442438436688145
2234,1.0372,776.0,19.125,1000.0,17.5,0.00441257584114727
2235,1.03571,783.25,19.125,1000.0,17.5,0.004558404558404558
2236,1.03552,789.75,19.1016,1000.0,17.5,0.00469810891719865
2237,0.983491,791.5,19.125,1000.0,17.5,0.004736530491415038
2238,0.983216,793.5,19.125,1000.0,17.5,0.004781829049611476
2239,0.982301,784.75,19.2656,1000.0,17.5,0.004586827731593519
2240,0.981721,783.75,19.3359,1000.0,17.5,0.004564419709346882
2241,0.981873,786.5,19.3828,1000.0,17.5,0.004621439412005021
2242,0.982972,782.0,19.5469,1000.0,17.5,0.004523926822769286
2243,1.03342,780.25,19.7344,1000.0,17.5,0.004484618654937296
2244,1.03323,783.0,19.9219,1000.0,17.5,0.004536754288026734
2245,1.0329,790.0,20.2266,1000.0,17.5,0.0046788747867602815
2246,1.03272,799.0,20.3203,1000.0,17.5,0.004882328558253259
2247,1.03088,806.5,20.3438,1000.0,17.5,0.005067298795300385
2248,1.02979,802.0,20.3906,1000.0,17.5,0.004953177612033448
2249,0.978364,805.25,20.3906,1000.0,17.5,0.0050342175768699855
2250,0.978394,809.75,20.4141,1000.0,17.5,0.005150282673264522
2251,0.978577,799.75,20.4375,1000.0,17.5,0.004897459442913988
2252,0.978059,793.5,20.4844,1000.0,17.5,0.004750945913331344
2253,0.978364,786.5,20.5078,1000.0,17.5,0.00459753627226242
2254,0.978638,780.75,20.6016,1000.0,17.5,0.004477245741691575
2255,1.02893,781.5,20.5781,1000.0,17.5,0.004492804997436855
2256,1.02875,786.0,20.5547,1000.0,17.5,0.004586005254644821
2257,1.02921,791.5,20.625,1000.0,17.5,0.004703115814226925
2258,1.02915,795.75,20.5547,1000.0,17.5,0.004800659802683281
2259,1.0285,799.5,20.5313,1000.0,17.5,0.00488922722341275
2260,1.02753,797.75,20.4609,1000.0,17.5,0.004849404177955675
2261,0.976655,800.0,20.3906,1000.0,17.5,0.00490459099144345
2262,0.97699,803.5,20.3906,1000.0,17.5,0.004990254033871848
2263,0.976319,794.0,20.2969,1000.0,17.5,0.0047665146625140795
2264,0.976044,785.25,20.3438,1000.0,17.5,0.004574695165187668
2265,0.976838,784.75,20.3906,1000.0,17.5,0.0045632803779856405
2266,0.977174,784.75,20.4141,1000.0,17.5,0.004562791077553304
